N sim mu_vmp mu_mcmc psi_1_vmp psi_1_mcmc psi_2_vmp psi_2_mcmc psi_3_vmp psi_3_mcmc psi_4_vmp psi_4_mcmc zeta_vmp zeta_mcmc
10 92 0.03092882 0.04353108 0.09475753 0.0924358 1.044219 0.5976989 1.875765 0.3791928 0.8655886 0.5565358 0.8031745 0.7431994
10 93 0.02539632 0.06361782 0.1306609 0.1334229 0.05766186 0.05538806 1.343122 0.4827286 0.08329517 0.471897 0.8022126 0.7915768
10 94 0.1512935 0.1534083 0.2831066 0.2131292 0.2272287 0.1732546 1.801113 0.6203382 0.7672337 0.4649228 0.7455172 0.742543
10 95 0.02711511 0.05024435 0.03078476 0.03015574 0.3522351 0.3835714 0.8763923 0.7079073 1.041023 0.4585669 1.170657 0.7650687
10 96 0.05361143 0.03255454 0.03311361 0.04122976 1.154748 0.3030685 1.425923 0.5660743 1.387858 0.4448757 1.075675 0.7432584
10 97 10.00999 0.1486939 1.93485 0.1192687 1.593478 0.2874708 1.873691 0.5980817 2 0.6024656 0.9748309 0.7437229
10 98 0.2955227 0.1911205 0.2740446 0.1686996 0.4658984 0.4414272 0.9985229 0.4698506 1.269223 0.5306876 0.8349875 0.7430459
10 99 0.1234851 0.1255894 0.1493899 0.1610994 0.200258 0.2298339 1.158734 0.584368 0.9779263 0.5036392 0.7402796 0.7366134
10 100 0.4111303 0.4378262 0.177884 0.2123411 0.2784536 0.2354587 1.122509 0.4741425 0.5772375 0.4646542 0.9191024 0.9115752
50 1 0.02351316 0.01864348 0.03428297 0.02509273 0.1371963 0.1261637 1.227904 0.8619378 1.201417 0.7507044 0.7000882 0.6955765
50 2 0.05135505 0.05327385 0.04114829 0.03631489 0.1343975 0.1090711 0.1892964 0.1289122 1.70722 0.2659074 0.7369485 0.7149462
50 3 0.03621353 0.03802782 0.01813798 0.01978885 0.02733585 0.03089895 0.4289165 0.3086958 1.501623 0.4080479 0.6833455 0.667789
