N sim mu_vmp psi_11_vmp psi_12_vmp psi_13_vmp psi_21_vmp psi_22_vmp psi_23_vmp zeta_1_vmp zeta_2_vmp
100 8 0.002973842 0.00249786 0.006376297 0.003379837 0.0008274562 0.01211565 0.01567167 0.3521983 0.5946152
100 9 0.008703501 0.003381516 0.007306953 0.02083538 0.00144961 0.005731136 1.977263 0.4063963 0.6423383
100 10 0.01206197 0.01209206 0.02056477 0.0161023 0.001028467 0.004976804 1.970741 0.4175908 0.6930712
100 11 0.01105351 0.005935231 0.006419936 0.004100808 0.001126839 0.002440723 0.007527098 0.404774 0.5595585
100 12 0.02517422 0.001279108 0.003545805 0.02526696 0.0006173513 0.003463931 0.009088936 0.4328625 0.5704879
100 13 0.00385652 0.009632013 0.01621026 0.008593722 0.000401505 0.006303317 0.005444782 0.3782749 0.5638233
100 14 0.004659008 0.003424917 0.0570073 0.1170123 0.0003414388 0.006972577 0.009346622 0.4291551 0.5879211
100 15 0.003174457 0.003435619 0.004352139 0.01173569 0.002053609 0.03125879 0.03332699 0.4960672 0.7616221
100 16 0.01120247 0.02266678 0.01943213 0.01744051 0.0004186688 0.002707256 0.01112796 0.4392756 0.5591995
100 17 0.0206852 0.005951775 0.01177063 0.04132944 0.000941574 0.01109223 0.01319046 0.4862208 0.7293971
100 18 0.008960204 0.003395584 0.1732961 0.1783092 0.0004114765 0.01320391 0.0171451 0.4681741 0.5705549
100 19 0.002234569 0.005761689 0.008340745 0.007208149 0.001469655 0.003371346 1.987891 0.3772477 0.6410586
100 20 0.009243001 0.0100494 0.009000865 0.03960231 0.001758168 0.005826493 0.006484247 0.4108798 0.5857922
100 21 0.03205917 0.01018249 0.1880189 0.1832672 0.0003022717 0.0133023 0.01779649 0.5544807 0.5649903
100 22 0.06381138 0.003949328 0.0684604 0.05317325 0.0004992037 0.06073541 0.06656879 0.5391788 0.6355364
100 23 0.01433531 0.002656464 0.02745912 0.03326401 0.0006782164 0.03129158 0.03450234 0.4298923 0.6688483
100 24 0.005621728 0.00754975 0.03575022 0.02469806 0.0008746758 0.002977973 0.002509186 0.4082561 0.5608608
100 25 0.01314639 0.005217474 0.04030961 0.04241909 0.003288675 0.01445465 0.01925278 0.3996 0.5834031
100 26 0.01914323 0.003179232 0.01098434 0.01248151 0.001200662 0.0202324 0.0240047 0.4240226 0.5614906
100 27 0.01887949 0.009321063 0.008900191 0.01957839 0.001281115 0.008267308 0.01004039 0.4344951 0.5608903
100 28 0.009874498 0.03694795 0.04354366 0.04216529 0.0006228184 0.003274156 1.95839 0.5287271 0.6404762
100 29 0.02912977 0.01600246 0.02497106 0.01108597 0.001022089 0.002259367 1.893241 0.5109731 0.9081355
100 30 0.02055889 0.005486268 0.09194125 0.07924258 0.0008871911 0.001430174 0.007552058 0.5137026 0.6020141
100 31 0.005753874 0.004343096 0.005594401 0.009585262 0.0006266261 0.003455202 0.005794447 0.4297786 0.5689755
100 32 0.03142278 0.02914553 0.02640189 0.03754875 0.0007695007 0.006312987 0.0110498 0.4785517 0.5677127
100 33 0.02922722 0.001777973 0.005493236 0.008793376 0.001210928 0.002245625 1.989606 0.4622475 0.6306153
100 34 0.01252868 0.01147637 0.01860746 0.01222267 0.0008214137 0.01363688 0.01707825 0.5047675 0.7882561
100 35 0.004816764 0.003029512 0.08147282 0.08255897 0.0009307257 0.002471869 0.007591097 0.5035976 0.5802171
100 36 0.04053289 0.02238201 0.05062225 0.06290966 0.002678167 0.006538393 1.999039 0.5208566 0.6355698
100 37 0.03711207 0.004623761 0.003298639 0.02002638 0.0004295682 0.02069463 0.02386783 0.4755215 0.7587131
100 38 0.006282227 0.01319637 0.01073913 0.01998832 0.001304579 0.00374704 0.007978345 0.4497312 0.5943851
100 39 0.01171935 0.01032321 0.01221624 0.01273183 0.002318414 0.004069131 0.004358364 0.4186511 0.5787933
100 40 0.02031394 0.009456945 0.003216329 0.04545797 0.000833685 0.004059124 0.006529241 0.4473576 0.5661187
