N sim mu_vmp mu_mcmc psi_11_vmp psi_11_mcmc psi_12_vmp psi_12_mcmc psi_13_vmp psi_13_mcmc psi_21_vmp psi_21_mcmc psi_22_vmp psi_22_mcmc psi_23_vmp psi_23_mcmc zeta_1_vmp zeta_1_mcmc zeta_2_vmp zeta_2_mcmc
10 72 0.3205457 0.2480241 0.2084854 0.1931089 0.3597106 0.3506795 0.1792402 0.1848871 0.01572703 0.01292314 0.02173288 0.02078816 1.967203 0.07457451 0.8624376 0.8399016 0.6402046 0.5840964
10 73 0.121087 0.09291403 0.009344716 0.003688174 0.008278846 0.02807749 0.01579734 0.03866421 0.008806493 0.007649513 0.01328542 0.008428434 1.997343 0.02271214 0.7409338 0.520363 0.6369156 0.5761627
10 74 0.09714296 0.05921529 0.05788054 0.0458638 0.1377965 0.08394395 0.2112357 0.1353167 0.009336617 0.005847645 1.593751 0.01390893 1.916582 0.04328515 0.6765682 0.575998 0.7833634 0.5988062
10 75 0.1894651 0.09943571 0.1685628 0.2020585 0.2371298 0.2755809 0.2389206 0.3108284 0.005089141 0.003672813 0.06695979 0.07244461 1.891671 0.1254638 0.7574739 0.7463053 0.7696845 0.6414694
10 76 0.01155966 0.00878648 0.01522813 0.01272666 0.7613581 0.7449437 0.7423966 0.7080431 0.005431953 0.005831155 0.01574026 0.0129704 1.979528 0.04587393 0.6848024 0.7006428 0.6707011 0.6082646
10 77 0.18538 0.09568965 0.009560154 0.01281951 0.1796394 0.2062962 0.3048205 0.2892911 0.006599825 0.00830632 0.05828248 0.04636213 1.892535 0.08263419 0.700498 0.6236624 0.9972266 0.5737196
10 78 0.1521792 0.118115 0.1014472 0.1578497 0.1701193 0.76171 0.2522926 0.9385571 0.004148081 0.003555359 0.05739115 0.05650947 1.950959 0.1139216 0.7962577 0.7341817 0.7581843 0.6149709
10 79 0.08039226 0.1003242 0.1177026 0.1127198 0.2034451 0.1866237 0.2977211 0.2363152 1.995109 0.01911395 1.89833 0.05715964 1.803191 0.09129636 0.7127348 0.7147708 1.027198 0.6280684
10 80 0.2282681 0.05612844 0.4289743 0.4039099 0.6018022 0.4995891 0.2028699 0.1553266 0.009079842 0.008291248 1.50168 0.03224654 1.923776 0.03364579 0.848701 0.7638045 0.7829524 0.6017695
10 81 0.2468193 0.08315871 0.349914 0.2981333 0.4718967 0.5241091 0.2480225 0.3725299 0.007620651 0.007192195 1.355407 0.5168453 1.955137 0.5034928 0.8367733 0.7695321 0.7513733 0.6819593
10 82 0.1222015 0.1213141 0.05257348 0.06331718 0.08707743 0.1156936 0.148998 0.1156089 0.01589156 0.0146697 1.467784 0.05219212 1.887156 0.1136641 0.6917921 0.6380186 0.9860755 0.5773804
10 83 0.2263598 0.2054373 0.0645177 0.05443369 0.1136517 0.1784591 0.1550061 0.1895264 0.01881946 0.01950535 1.673422 0.08927216 1.896635 0.1359819 0.7036328 0.7209589 0.7411589 0.5952967
10 84 0.138814 0.08329811 0.06942397 0.07240431 0.02992004 0.03678693 0.949756 0.2047368 1.244241 0.006858536 1.910327 0.3347303 1.219169 0.3587531 0.6178972 0.5934397 1.027978 0.644161
10 85 0.09406536 0.1185981 0.03120352 0.02857157 0.4575872 0.4742314 0.5001507 0.5047637 0.009729167 0.008167759 0.02277239 0.01969853 1.975158 0.05108037 0.6832152 0.7061104 0.6811866 0.6164074
10 86 0.08051654 0.03045983 0.08003567 0.09943806 0.1115375 0.1193915 0.5019809 0.1508066 0.03616089 0.02619604 1.51631 0.121152 1.915914 0.1523439 0.6209871 0.5759884 0.7998359 0.6184868
10 87 0.1045756 0.1914032 0.01610288 0.01710803 0.05497241 0.06249311 0.3259275 0.2701486 0.003660708 0.004715506 1.439828 0.02376189 1.86764 0.04407507 0.5856877 0.6511011 1.017851 0.5790631
10 88 0.03013765 0.02093736 0.06824472 0.09018302 0.2833971 0.3480866 0.4950222 0.5566846 0.03742919 0.003937104 0.1006194 0.06390164 1.947154 0.08421455 0.6780223 0.6692807 0.7760548 0.6147593
10 89 0.02381416 0.02157371 0.1064504 0.1126105 0.1037502 0.2185213 0.09461674 0.2174356 0.0110269 0.01298157 0.2420657 0.2621166 1.726487 0.2983613 0.6403923 0.6402921 0.7501794 0.6201484
10 90 0.1356313 0.1064921 0.02309558 0.02322237 0.02950627 0.02355498 0.1442149 0.09106398 0.003065668 0.003259331 0.02807184 0.02301273 1.977405 0.04488262 0.6134465 0.5509796 0.6733499 0.6013213
10 91 0.02881169 0.06885994 0.07671001 0.06338839 0.280898 0.4782971 0.4222959 0.6947876 0.1822681 0.005877334 0.206319 0.02568662 1.960172 0.04167858 0.65975 0.6801002 0.8160316 0.5825604
10 92 0.3435975 0.2729732 0.06616411 0.04888533 0.6113924 0.5898293 0.6187687 0.5835129 0.01973002 0.01203491 0.1090384 0.03160569 1.954502 0.02559902 0.7742228 0.7628232 0.7797199 0.5810579
10 93 0.2935743 0.1121619 0.01713796 0.01076796 0.2633719 0.3014839 0.4503206 0.3282855 1.254379 0.005998465 1.79964 0.1834057 1.57805 0.2097312 0.8248562 0.7070398 1.020864 0.6204201
10 94 0.05221122 0.06156109 0.06488795 0.05354051 1.039661 1.041217 1.042037 0.9934378 0.01065149 0.008794152 0.02244491 0.03291549 1.930993 0.05211816 0.7482934 0.767266 0.6676939 0.5959972
10 95 0.05917881 0.03236413 0.03155537 0.02372687 1.366353 1.394374 1.585891 1.343041 0.01286567 0.01024795 1.443711 0.02833271 1.870409 0.02453377 0.7511151 0.7443466 0.7537012 0.598775
10 96 0.05665797 0.04119411 0.2787608 0.2763739 0.2165816 0.2063797 0.1534496 0.1352018 0.008231824 0.007428192 0.03312983 0.02961767 1.930284 0.05392068 0.633011 0.6032657 0.6649227 0.5950165
10 97 0.04151914 0.003042117 0.07440091 0.05008287 0.07013219 0.0215557 0.3105103 0.1361747 0.006474987 0.007590928 0.06018454 0.05416323 1.960888 0.1095045 0.759049 0.4510049 0.646159 0.5684287
10 98 0.1548269 0.1213159 0.02411752 0.02548878 0.2242966 0.2156656 0.3309394 0.3116227 0.008669436 0.00976016 0.139932 0.11456 1.919128 0.1458661 0.7371746 0.6954458 0.6511075 0.6056496
