N sim iter vmp mcmc
250 68 173 921.5382 121684.5
250 69 324 1566.16 76183.39
250 70 54 317.1563 67640.51
250 71 271 1331.005 51685.25
250 72 313 1504.059 66213.68
250 73 384 1858.165 61933.57
250 74 283 1308.903 71399.32
250 75 26 180.7576 77731.7
250 76 427 2087.243 73154.51
250 77 259 1307.071 79598.63
250 78 176 905.693 48020.84
250 79 376 1863.221 72474.89
250 80 22 157.9596 73275.12
250 81 291 1498.988 75849.27
250 82 181 916.5266 48257.43
250 83 194 986.1908 45712.1
250 84 66 366.4151 72518.71
250 85 50 291.2108 68372.15
250 86 149 802.4686 114287.3
250 87 186 990.4969 121814.9
250 88 321 1619.273 49900.84
250 89 101 576.2971 72925.91
250 90 209 994.061 67514.31
250 91 233 1135.157 73983.59
250 92 305 1471.373 42535.14
250 93 129 673.0871 54668.41
250 94 219 1111.885 46847.58
250 95 319 1575.328 51308.2
250 96 211 1067.272 52176.44
250 97 305 1508.98 76055.82
250 98 261 1267.43 79556.85
250 99 94 476.4932 49062.91
250 100 191 932.4226 47367.2
500 1 208 4203.74 184187.5
500 2 69 1560.011 235125.5
500 3 41 982.6017 159389
500 4 285 6056.873 168115.2
500 5 182 3955.998 232668.1
500 6 273 5983.356 185618.4
500 7 195 4324.588 151011.6
500 8 300 6449.342 381125.5
500 9 144 3091.745 194127.5
500 10 211 4475.253 283296.9
500 11 180 3918.266 224143.2
500 12 34 826.4672 299217.1
500 13 307 6440.587 283351
500 14 205 4522.216 271479.1
500 15 261 5789.399 214692.9
500 16 28 726.702 195570.6
500 17 66 1523.171 368485.9
500 18 103 2265.351 171278.6
500 19 231 4907.61 291649.9
500 20 293 6122.994 318980.5
500 21 291 6294.841 302011.1
500 22 291 6249.554 198193.8
500 23 289 6484.599 296952.8
500 24 297 6506.905 305964.9
500 25 173 3669.658 289398.9
500 26 281 6026.235 374271.8
500 27 241 5311.506 311833.3
500 28 145 3245.882 266983.2
500 29 223 4729.752 293999.8
500 30 228 4823.773 301586.5
500 31 313 6864.621 300651.9
500 32 139 2717.669 157345.5
500 33 71 1427.242 196602.5
500 34 68 1492.221 163522
500 35 73 1520.457 196472.5
500 36 245 6093.449 293125.6
500 37 217 4514.84 257969
500 38 191 4172.51 272779.8
500 39 91 2137.16 175751.9
500 40 223 5441.372 283210.9
500 41 189 4839.433 267564.6
500 42 281 7124.816 201094.7
500 43 269 6616.757 273829.5
500 44 247 6167.274 199106.9
500 45 154 3848.43 276034.6
500 46 331 8225.454 267733
500 47 58 1610.247 185966.3
500 48 253 6023.596 188424.2
500 49 26 760.6431 188484.9
500 50 267 6424.652 469530.5
500 51 255 5840.6 284919.1
500 52 227 5337.506 283726.8
500 53 52 1032.134 192473.7
500 54 36 1066.097 280143.7
500 55 219 5493.911 194403.2
500 56 98 1965.291 217035.2
500 57 116 2586.983 180726.5
500 58 261 6251.095 274062
500 59 163 3846.977 179698.5
500 60 313 7109.481 195224.8
500 61 58 1613.957 290368.4
500 62 257 6284.511 135107.4
500 63 77 2101.711 299274.5
500 64 247 5821.769 174978.7
500 65 289 6674.513 217789.7
500 66 301 7656.706 166581.3
500 67 26 826.8011 308508.1
500 68 279 7059.536 201737.3
500 69 199 5061.849 304363.4
500 70 253 6319.606 293857
500 71 156 3647.314 185090
500 72 175 4262.932 170058.2
500 73 299 6862.707 183158.8
500 74 36 1086.266 188700.2
500 75 321 7513.957 258432
500 76 303 7239.474 174643.7
500 77 48 1297.978 272439.6
500 78 159 3931.629 174097.2
500 79 199 5199.56 191736.3
500 80 225 5462.03 244644.7
500 81 211 5056.619 191382
500 82 189 4809.664 187086.7
500 83 217 5595.553 192396.1
500 84 167 4320.345 169643
500 85 30 855.8004 285508.9
500 86 223 5490.458 273504.5
500 87 84 2253.109 212837.7
500 88 22 711.3696 166829.8
500 89 303 7626.888 392787.3
500 90 179 4541.826 266191.7
500 91 121 3014.224 265941.7
500 92 217 5519.281 184121.6
500 93 94 1806.791 200312.4
500 94 291 6917.704 215484.8
500 95 207 5103.161 258986.5
500 96 263 6623.921 193479.8
500 97 249 6210.365 182236.6
500 98 273 6591.658 177909.4
500 99 291 7237.76 210034.2
500 100 29 880.1453 159791.3
